uri	rel	start	end	context	weight	sources	id	dataset	text
/a/[/r/IsA/,/c/en/america_beautiful/,/c/en/national_anthem/]	/r/IsA	/c/en/america_beautiful	/c/en/national_anthem	/ctx/all	0.5	/s/dbpedia/3.7	/e/914e6775fd79d660bacf22ec699568e6694da3e8	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/ankara/,/c/en/central_anatolia_region/]	/r/PartOf	/c/en/ankara	/c/en/central_anatolia_region	/ctx/all	0.5	/s/dbpedia/3.7	/e/a2c3ddf6b6237156dbeac84eea2801d35a9562d4	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/unite_state/]	/r/AtLocation	/c/en/apple_inc	/c/en/unite_state	/ctx/all	0.5	/s/dbpedia/3.7	/e/ec1914bfb0606c36376fbbcd316e5666022e2469	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/apple_campus/]	/r/AtLocation	/c/en/apple_inc	/c/en/apple_campus	/ctx/all	0.5	/s/dbpedia/3.7	/e/3fecbbf65e56b34968c37fe25af28155fa0404f0	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/infinite_loop/n/street/]	/r/AtLocation	/c/en/apple_inc	/c/en/infinite_loop/n/street	/ctx/all	0.5	/s/dbpedia/3.7	/e/359d09e4399eda3937477149f95db81947879906	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/cupertino_california/]	/r/AtLocation	/c/en/apple_inc	/c/en/cupertino_california	/ctx/all	0.5	/s/dbpedia/3.7	/e/06d5c91041588df2d223a9f9cbe27aa4b7078027	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/california/]	/r/AtLocation	/c/en/apple_inc	/c/en/california	/ctx/all	0.5	/s/dbpedia/3.7	/e/c9c8312c3ebd177bc68c6e9c472cec50a676d852	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/apple_inc/,/c/en/public_company/]	/r/IsA	/c/en/apple_inc	/c/en/public_company	/ctx/all	0.5	/s/dbpedia/3.7	/e/a5136f1c9dd369b3e2a214ffb47e6696b8ec8f85	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/neckarsulm/]	/r/AtLocation	/c/en/audi	/c/en/neckarsulm	/ctx/all	0.5	/s/dbpedia/3.7	/e/8d5c7823ef5e70bd316962bccc961462338f3068	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/győr/]	/r/AtLocation	/c/en/audi	/c/en/győr	/ctx/all	0.5	/s/dbpedia/3.7	/e/e89921d618591774e5d5728df19ce2ede7622df7	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/brussels/]	/r/AtLocation	/c/en/audi	/c/en/brussels	/ctx/all	0.5	/s/dbpedia/3.7	/e/40120af6755f9dedaad9590c769e0d185c50d1ce	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/changchun/]	/r/AtLocation	/c/en/audi	/c/en/changchun	/ctx/all	0.5	/s/dbpedia/3.7	/e/5d1dd4aad178b01f065ff52f07e9396949c2c461	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/aurangabad_maharashtra/]	/r/AtLocation	/c/en/audi	/c/en/aurangabad_maharashtra	/ctx/all	0.5	/s/dbpedia/3.7	/e/4572f10989d6d3877fe0e4044e9e46176c5c1238	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/curitiba/]	/r/AtLocation	/c/en/audi	/c/en/curitiba	/ctx/all	0.5	/s/dbpedia/3.7	/e/0209765bf7185615ef242513f61ca0f61efe2a04	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/ingolstadt/]	/r/AtLocation	/c/en/audi	/c/en/ingolstadt	/ctx/all	0.5	/s/dbpedia/3.7	/e/5158d1cfce728efb3e42840d166ec06153a3d77d	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/audi/,/c/en/frankfurt_stock_exchange/]	/r/IsA	/c/en/audi	/c/en/frankfurt_stock_exchange	/ctx/all	0.5	/s/dbpedia/3.7	/e/2b0676236e5c80629c37f41e7e18d131a7d9b71d	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/amsterdam/,/c/en/north_holland/]	/r/PartOf	/c/en/amsterdam	/c/en/north_holland	/ctx/all	0.5	/s/dbpedia/3.7	/e/8a294c76caf96a25c38591a1eb4e48dde6735b26	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/achill_island/,/c/en/atlantic_ocean/]	/r/AtLocation	/c/en/achill_island	/c/en/atlantic_ocean	/ctx/all	0.5	/s/dbpedia/3.7	/e/6f60f931280a52b12c50f7cedc10ba4cce8ca326	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/aarhus/,/c/en/central_denmark_region/]	/r/PartOf	/c/en/aarhus	/c/en/central_denmark_region	/ctx/all	0.5	/s/dbpedia/3.7	/e/d222650628b158fcd2ab3da62eef21de8406eea0	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/aarhus/,/c/en/aarhus_municipality/]	/r/PartOf	/c/en/aarhus	/c/en/aarhus_municipality	/ctx/all	0.5	/s/dbpedia/3.7	/e/0e54d468ef862471fc1b1a389678db62599f8462	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/ames_iowa/,/c/en/iowa/]	/r/PartOf	/c/en/ames_iowa	/c/en/iowa	/ctx/all	0.5	/s/dbpedia/3.7	/e/cb622038477781f101b21abc3c34587fc95e08bc	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/ames_iowa/,/c/en/story_county_iowa/]	/r/PartOf	/c/en/ames_iowa	/c/en/story_county_iowa	/ctx/all	0.5	/s/dbpedia/3.7	/e/9420df88f00ffb4a00f439fc21ca8e3fead4c1e7	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/ames_iowa/,/c/en/city/]	/r/IsA	/c/en/ames_iowa	/c/en/city	/ctx/all	0.5	/s/dbpedia/3.7	/e/7fd98fbb3ebe1085d8186024f90caeb0984f9f15	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apache_software_foundation/,/c/en/forest_hill_maryland/]	/r/AtLocation	/c/en/apache_software_foundation	/c/en/forest_hill_maryland	/ctx/all	0.5	/s/dbpedia/3.7	/e/e968e7acc69d70cd952c0aa60e89919de1b27f79	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/k-47/,/c/en/assault_rifle/]	/r/IsA	/c/en/k-47	/c/en/assault_rifle	/ctx/all	0.5	/s/dbpedia/3.7	/e/5bf96853ee314c37bc39f9053341d69b96012352	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/anbar/n/town/,/c/en/al_anbar_governorate/]	/r/PartOf	/c/en/anbar/n/town	/c/en/al_anbar_governorate	/ctx/all	0.5	/s/dbpedia/3.7	/e/7b9d4c44ca2466a0979c0b44eb7eee7fe30bbb2a	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/abydos_egypt/,/c/en/sohag_governorate/]	/r/PartOf	/c/en/abydos_egypt	/c/en/sohag_governorate	/ctx/all	0.5	/s/dbpedia/3.7	/e/27536d3925f8269700627d8058eba0f97654632c	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/abydos_egypt/,/c/en/el-balyana/]	/r/PartOf	/c/en/abydos_egypt	/c/en/el-balyana	/ctx/all	0.5	/s/dbpedia/3.7	/e/d3739982c7a7765e1443b5fe9857630e1ef2869b	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/acapulco/,/c/en/guerrero/]	/r/PartOf	/c/en/acapulco	/c/en/guerrero	/ctx/all	0.5	/s/dbpedia/3.7	/e/9bf97c50972e842a57a70bb6b88f4e9c475a92c2	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/acapulco/,/c/en/city/]	/r/IsA	/c/en/acapulco	/c/en/city	/ctx/all	0.5	/s/dbpedia/3.7	/e/b7a1a5a35e6c4769f8876597c0afbe9005706fd9	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/american_stock_exchange/,/c/en/low_manhattan/]	/r/AtLocation	/c/en/american_stock_exchange	/c/en/low_manhattan	/ctx/all	0.5	/s/dbpedia/3.7	/e/08aa7774b100a49349cf41062734cec0639f6be5	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/american_stock_exchange/,/c/en/new_york_city/]	/r/AtLocation	/c/en/american_stock_exchange	/c/en/new_york_city	/ctx/all	0.5	/s/dbpedia/3.7	/e/b460c760eaffe2ecb756bcc2c1d845e9c2f743eb	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/american_stock_exchange/,/c/en/new_york/]	/r/AtLocation	/c/en/american_stock_exchange	/c/en/new_york	/ctx/all	0.5	/s/dbpedia/3.7	/e/ac8559f9f339a8e76ef3aa162ab7a86b7407a3ff	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/algiers/,/c/en/algiers_province/]	/r/PartOf	/c/en/algiers	/c/en/algiers_province	/ctx/all	0.5	/s/dbpedia/3.7	/e/079dbea9de1b199249c36d44999f97c2c96080a8	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/anah/,/c/en/al_anbar_governorate/]	/r/PartOf	/c/en/anah	/c/en/al_anbar_governorate	/ctx/all	0.5	/s/dbpedia/3.7	/e/3abeccbd232368dff6b6f06b57da53c6a8f1aaab	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/andaman_island/,/c/en/bay_of_bengal/]	/r/AtLocation	/c/en/andaman_island	/c/en/bay_of_bengal	/ctx/all	0.5	/s/dbpedia/3.7	/e/31db1b60c0d979bced25df1838abf9c23c31dfd2	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/amway/,/c/en/ada_township_michigan/]	/r/AtLocation	/c/en/amway	/c/en/ada_township_michigan	/ctx/all	0.5	/s/dbpedia/3.7	/e/65cae64a2e2f604536892b6193212ac277541af1	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/arizona_state_university/,/c/en/public_university/]	/r/IsA	/c/en/arizona_state_university	/c/en/public_university	/ctx/all	0.5	/s/dbpedia/3.7	/e/e07217738683c2491fdf04b7d92ab70fe9cb2dec	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/astoria_oregon/,/c/en/oregon/]	/r/PartOf	/c/en/astoria_oregon	/c/en/oregon	/ctx/all	0.5	/s/dbpedia/3.7	/e/7d9743279b089bc6722bc0197c13368ac593acd8	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/astoria_oregon/,/c/en/clatsop_county_oregon/]	/r/PartOf	/c/en/astoria_oregon	/c/en/clatsop_county_oregon	/ctx/all	0.5	/s/dbpedia/3.7	/e/9a6f20180d0241021ef2d3a5630eb33117d5c286	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/astoria_oregon/,/c/en/city/]	/r/IsA	/c/en/astoria_oregon	/c/en/city	/ctx/all	0.5	/s/dbpedia/3.7	/e/d742222bee87e4428816f1929b0f0f4dcc3a4106	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/adobe_system/,/c/en/adobe_system_headquarter_complex/]	/r/AtLocation	/c/en/adobe_system	/c/en/adobe_system_headquarter_complex	/ctx/all	0.5	/s/dbpedia/3.7	/e/3b818fc4e75d7333d07976880845e1a57c36417b	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/adobe_system/,/c/en/san_jose_california/]	/r/AtLocation	/c/en/adobe_system	/c/en/san_jose_california	/ctx/all	0.5	/s/dbpedia/3.7	/e/2f2321deed9fcf9b382aa0b4a7ef5bdac5a06381	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/austin_texas/,/c/en/travis_county_texas/]	/r/PartOf	/c/en/austin_texas	/c/en/travis_county_texas	/ctx/all	0.5	/s/dbpedia/3.7	/e/ec464e6b9d85387ac286f7d5a55c0d6f0406e12b	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/austin_texas/,/c/en/williamson_county_texas/]	/r/PartOf	/c/en/austin_texas	/c/en/williamson_county_texas	/ctx/all	0.5	/s/dbpedia/3.7	/e/220611330c17a7161d869667c63b979b6a54cf91	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/austin_texas/,/c/en/hay_county_texas/]	/r/PartOf	/c/en/austin_texas	/c/en/hay_county_texas	/ctx/all	0.5	/s/dbpedia/3.7	/e/1a471219efdddde60b7448d643ffcee71b780ce6	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/ann_arbor_michigan/,/c/en/michigan/]	/r/PartOf	/c/en/ann_arbor_michigan	/c/en/michigan	/ctx/all	0.5	/s/dbpedia/3.7	/e/581e06d747644c4ad7b2432748dfe4c13d8da722	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/ann_arbor_michigan/,/c/en/washtenaw_county_michigan/]	/r/PartOf	/c/en/ann_arbor_michigan	/c/en/washtenaw_county_michigan	/ctx/all	0.5	/s/dbpedia/3.7	/e/5a3ef61f8b1e19e67e70acf965008dac5e946f6f	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/ann_arbor_michigan/,/c/en/city/]	/r/IsA	/c/en/ann_arbor_michigan	/c/en/city	/ctx/all	0.5	/s/dbpedia/3.7	/e/1cf1006e70830b3f9c6cd15cd7ea62cf840a9e99	/d/dbpedia/en	None
